comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,id,original_rating,selection_score
Огромное спасибо вам от всего подъезда!!! ))))),0,0,0,0,0,3852179,5,16.6
спасибо!),0,0,0,0,0,3852743,5,3.1999999999999997
спасибо,0,0,0,0,0,3852975,5,2.6
Все отлично,0,0,0,0,0,3854073,5,3.9
Спасибо мастеру,0,0,0,0,0,3859764,5,5.7
"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",0,0,0,0,0,3859780,5,27.799999999999997
"Среагировали быстро, благодарю",0,0,0,0,0,3860248,5,10.799999999999999
Спасибо за оперативность!,0,0,0,0,0,3860900,5,8.9
"Спасибо! По крайней мере, по ночам пока шума не слышно.",0,0,0,0,0,3863351,5,19.8
Быстро,0,0,0,0,0,3863609,5,2.4999999999999996
Спасибо за своевременное выполнение заявки...,0,0,0,0,0,3866829,5,15.4
все сделали быстро. спасибо,0,0,0,0,0,3866867,5,10.200000000000001
всё отлично 👍,0,0,0,0,0,3868883,5,4.699999999999999
"Большое спасибо Александру,за оперативность и профессионализм",0,0,0,0,0,3872124,5,21.2
оперативно и качественно. спасибо,0,0,0,0,0,3873692,5,12.000000000000002
Спасибо большое!,0,0,0,0,0,3877186,5,5.7
"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",0,0,0,0,0,3877901,5,23.9
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции",0,0,0,0,0,3878088,5,50.300000000000004
спасибо большое! надолго ли🙄,0,0,0,0,0,3878555,5,9.900000000000002
Огромное спасибо!,0,0,0,0,0,3878808,5,6.0
Всё очень четко организовано! Большое спасибо за работу!,0,0,0,0,0,3879856,5,19.700000000000003
Спасибо Вам большое и за дверь и за номера квартир!,0,0,0,0,0,3880345,5,18.2
"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность !",0,0,0,0,0,3881004,5,34.6
Спасибо! Все заработало,0,0,0,0,0,3881460,5,7.999999999999999
"спасибо, решили мой вопрос на месте в офисе",0,0,0,0,0,3881636,5,16.4
"Спасибо больше Ольге Птушкине, за проделанную работу!",0,0,0,0,0,3882840,5,18.599999999999998
"всё сделали хорошо, починили вовремя. наверное, молодцы.",0,0,0,0,0,3883200,5,19.5
Спасибо,0,0,0,0,0,3883457,5,2.6
Супер! Спасибо!,0,0,0,0,0,3883549,5,5.4
Отлично! Все выполнили как и обещали!,0,0,0,0,0,3883658,5,13.2
Очень оперативно. Спасибо большое,0,0,0,0,0,3883736,5,11.9
"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",0,0,0,0,0,3883745,5,56.5
Умело подкрутили редукторы давления. Молодец!,0,0,0,0,0,3884964,5,15.8
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",0,0,0,0,0,3886150,5,35.5
"быстро, чётко, без проблем. одно слово - мастер!",0,0,0,0,0,3886231,5,18.099999999999998
Работает. Спасибо!,0,0,0,0,0,3886721,5,6.3
"сегодня ездил, все исправно работает, спасибо!",0,0,0,0,0,3886923,5,16.1
"Спасибо большое, всё понятно.",0,0,0,0,0,3886937,5,10.200000000000001
Татьяна спасибо ❤️,0,0,0,0,0,3887002,5,6.499999999999999
Большое спасибо!,0,0,0,0,0,3887228,5,5.7
спасибо за оперативность,0,0,0,0,0,3887358,5,8.6
спасибо за то что быстро отреагировали,0,0,0,0,0,3887392,5,13.6
"Сервис на высоте, мастер - профессионал",0,0,0,0,0,3887422,5,14.6
спасибо большое,0,0,0,0,0,3887525,5,5.4
Спасибо. Все работает,0,0,0,0,0,3887743,5,7.3999999999999995
Спасибо большое!,0,0,0,0,0,3887791,5,5.7
"заявка выполнена, спасибо.",0,0,0,0,0,3887844,5,9.1
Спасибо за быстрое реагирование!!!,0,0,0,0,0,3888009,5,12.0
"Оперативно сработали, благодарю.",0,0,0,0,0,3888318,5,11.399999999999999
"Спасибо сантехнику Алексею, все сделано качественно",0,0,0,0,0,3888354,5,17.9
"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",0,0,0,0,0,3888539,5,81.3
Очень оперативно и никуда не пришлось ходить.,0,0,0,0,0,3888591,5,16.2
Очень оперативно отреагировали! Спасибо!,0,0,0,0,0,3888633,5,14.0
"оперативно, качественно, вопросов не возникло. Спасибо.",0,0,0,0,0,3888794,5,19.7
Быстро!,0,0,0,0,0,3888811,5,2.8000000000000003
спасибо за оперативное решение проблемы.,0,0,0,0,0,3889213,5,14.5
Первый раз вы решили вопрос быстро,0,0,0,0,0,3889542,5,13.499999999999998
отлично спасибо,0,0,0,0,0,3889783,5,5.4
"спасибо большое, Татьяна.",0,0,0,0,0,3889827,5,8.8
"Спасибо большое, что починили домофон.",0,0,0,0,0,3890030,5,13.3
Спасибо огромное за помощь!,0,0,0,0,0,3890231,5,9.600000000000001
отличная работа. теперь дверь закрывается плавно. спасибо.,0,0,0,0,0,3890275,5,20.299999999999997
спасибо большое,0,0,0,0,0,3890389,5,5.4
Все супер быстро! Спасибо!,0,0,0,0,0,3890393,5,9.6
Оперативно) спасибо,0,0,0,0,0,3890484,5,6.9
Супер,0,0,0,0,0,3890486,5,1.9
Спасибо.,0,0,0,0,0,3890512,5,2.9
"Молодцы, оперативно.",0,0,0,0,0,3890517,5,7.1000000000000005
Вопрос решился быстро. Спасибо!,0,0,0,0,0,3890604,5,11.899999999999999
Спасибо 😉,0,0,0,0,0,3890656,5,3.3999999999999995
Александру спасибо за объяснение причины бульканья !,0,0,0,0,0,3890678,5,18.099999999999998
спасибо! всё быстро!,0,0,0,0,0,3890716,5,7.4
Спасибо! Исправили мою ошибку,0,0,0,0,0,3890985,5,10.7
мастер сделал все очень быстро и аккуратно,0,0,0,0,0,3891095,5,16.2
спасибо за оперативность,0,0,0,0,0,3891188,5,8.6
Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо,0,0,0,0,0,3891325,5,40.099999999999994
"Иван, огромное спасибо вам !",0,0,0,0,0,3891380,5,10.3
"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист)",0,0,0,0,0,3891489,5,40.49999999999999
спасибо! в тот же день электрик решил проблему.,0,0,0,0,0,3891568,5,17.599999999999998
"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",0,0,0,0,0,3891612,5,28.8
да все верно. спасибо,0,0,0,0,0,3891850,5,7.3999999999999995
спасибо всё бистро устранили,0,0,0,0,0,3891871,5,10.200000000000001
"Спасибо, вроде бы стало лучше.",0,0,0,0,0,3891943,4,10.700000000000001
Спасибо большое за Вашу быструю и профессиональную помощь.,0,0,0,0,0,3892115,5,20.9
"Все быстро, не смотря на поздний час.",0,0,0,0,0,3892189,5,13.600000000000001
ответ был предоставлен оперативно и в полном объеме,0,0,0,0,0,3892432,5,18.400000000000002
"Спасибо огромное, напор стал отличным!",0,0,0,0,0,3892474,5,13.500000000000002
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),0,0,0,0,0,3892548,5,54.2
Спасибо мастеру Сергею за четкую работу!,0,0,0,0,0,3892591,5,14.6
"Благодарим, очень оперативно!",0,0,0,0,0,3892632,5,10.499999999999998
"Быстро, мастеру большое спасибо",0,0,0,0,0,3892659,5,11.6
"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",0,0,0,0,0,3892748,5,31.499999999999996
главное что проблема решена! спасибо!,0,0,0,0,0,3892858,5,13.299999999999999
Спасибо.. все сделали быстро .. очень вежливые сотрудники.,0,0,0,0,0,3892909,5,21.2
"спасибо, что решили проблему оперативно",0,0,0,0,0,3892910,5,14.499999999999998
"Оперативно, внимательно, вежливо. Спасибо.",0,0,0,0,0,3893074,5,14.6
"Спасибо, всё оперативно сделали!",0,0,0,0,0,3893110,5,11.700000000000001
Заявка быстра принята в работу. Проблема решена. Спасибо!,0,0,0,0,0,3893476,5,20.799999999999997
Молодцы! Быстро! 😁,0,0,0,0,0,3893532,5,6.7
Спасибо большое за оперативность👍👍👍,0,0,0,0,0,3893735,5,12.1
"Спасибо большое,всех благ и процветание вашей компании",0,0,0,0,0,3893860,5,19.099999999999998
спасибо электрику,0,0,0,0,0,3893967,5,6.0
благодарю за быстро и качественно оказанную услугу,0,0,0,0,0,3894130,5,18.299999999999997
Спасибо за оперативное решение вопроса!,0,0,0,0,0,3894191,5,14.2
"Огромное спасибо, быстро и качественно",0,0,0,0,0,3894326,5,13.9
Спасибо большое за оперативность,0,0,0,0,0,3894419,5,11.4
спасибо за ремонт!,0,0,0,0,0,3894440,5,6.499999999999999
сотрудники молодцы!,0,0,0,0,0,3894714,5,6.800000000000001
Большое спасибо,0,0,0,0,0,3894876,5,5.4
оперативно и качественно! браво!,0,0,0,0,0,3894893,5,11.6
Спасибо огромное! Оперативно и качественно решили проблему!,0,0,0,0,0,3894902,5,21.599999999999998
"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое",0,0,0,0,0,3895042,5,22.099999999999998
"спасибо, быстро и качественно.",0,0,0,0,0,3895064,5,11.100000000000001
спасибо.,0,0,0,0,0,3895126,5,2.9
Спасибо за оперативность 💫💫💫,0,0,0,0,0,3895181,5,10.0
Все отлично! Спасибо,0,0,0,0,0,3895221,5,7.1000000000000005
"Спасибо, большое!!!",0,0,0,0,0,3895423,5,6.6000000000000005
Спасибо большое !,0,0,0,0,0,3895493,5,6.2
Быстро и оперативно,0,0,0,0,0,3895519,5,7.300000000000001
все отлично,0,0,0,0,0,3895566,5,3.9
Оперативно. Пока работает,0,0,0,0,0,3895624,5,9.0
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением!",0,0,0,0,0,3895634,5,30.900000000000002
Спасибо Мастеру Олегу!,0,0,0,0,0,3895805,5,8.2
"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",0,0,0,0,0,3895925,5,53.900000000000006
Спасибо большое всё решили быстро!,0,0,0,0,0,3896191,5,12.7
"оперативно, быстро .",0,0,0,0,0,3896230,5,7.6
Приходил мастер все отрегулировал большое спасибо,0,0,0,0,0,3896509,5,17.3
Оперативно,0,0,0,0,0,3896614,5,3.7
спасибо за консультацию,0,0,0,0,0,3896717,5,7.999999999999999
Спасибо! Всё хорошо,0,0,0,0,0,3896818,5,6.8
"Ответ получен. Спасибо, что результатом стало уточнение и меня поняли.",0,0,0,0,0,3896928,5,24.7
"Благодарю за обратную связь. За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. При звонке было вежливое, доброжелательное отношение.",0,0,0,0,0,3896945,5,69.19999999999999
Очень быстро отреагировали. Работа качественная!,0,0,0,0,0,3897000,5,17.0
спасибо за подсказки и внимательное отношение,0,0,0,0,0,3897016,5,15.600000000000001
Спасибо технику),0,0,0,0,0,3897113,5,5.7
Благодарю. Всё отлично 👍.,0,0,0,0,0,3897118,5,9.000000000000002
Спасибо большое за информацию. Татьяна молодец!,0,0,0,0,0,3897281,5,16.700000000000003
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю.",0,0,0,0,0,3897654,5,34.6
Все было сделано быстро и качественно.,0,0,0,0,0,3897730,5,14.000000000000002
"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо",0,0,0,0,0,3897831,5,31.5
"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",0,0,0,0,0,3898045,5,33.599999999999994
да открыла спасибо,0,0,0,0,0,3898232,5,6.499999999999999
"быстро позвонили, пришли все сделали,спасибо",0,0,0,0,0,3898417,5,15.9
"Молодцы, очень оперативно!!!!! Прям минус одна головная боль",0,0,0,0,0,3898427,5,21.1
"Очень быстро, качественно. Спасибо! 🤝",0,0,0,0,0,3898572,5,13.6
спасибо большое за разъяснения и за оперативность,0,0,0,0,0,3898709,5,17.1
Спасибо,0,0,0,0,0,3898733,5,2.6
Быстро и понятно,0,0,0,0,0,3898762,5,6.1000000000000005
Спасибо за консультацию!,0,0,0,0,0,3898819,5,8.3
"Просто и удобно, а также быстро и экономия времени и ресурсов .",0,0,0,0,0,3899012,5,22.2
Отлично!,0,0,0,0,0,3899166,5,2.8000000000000003
Отлично все сделано 5 балов.,0,0,0,0,0,3899842,5,10.0
"Спасибо большое, все получила",0,0,0,0,0,3900408,5,10.200000000000001
"Спасибо ,очень оперативно",0,0,0,0,0,3900525,5,9.1
Ребята молодцы,0,0,0,0,0,3900559,5,5.000000000000001
Спасибо за оперативное решение,0,0,0,0,0,3900602,5,10.8
спасибо!,0,0,0,0,0,3900686,5,2.9
"оперативно, спасибо",0,0,0,0,0,3900690,5,6.9
Большое спасибо мастеру!,0,0,0,0,0,3900869,5,8.799999999999999
Быстро и чётко,0,0,0,0,0,3901168,5,5.500000000000001
Владимир грамотно и здорово и быстро все сделал,0,0,0,0,0,3901194,5,16.900000000000002
огромное спасибо,0,0,0,0,0,3901247,5,5.7
"Спасибо! Сервис работает, это самое главное :)",0,0,0,0,0,3901257,5,16.3
"Все отлично,позвонили,ответ предоставили",0,0,0,0,0,3901356,5,13.4
"Все отлично, спасибо",0,0,0,0,0,3901433,5,7.1000000000000005
Оперативное решение! Спасибо),0,0,0,0,0,3901446,5,10.299999999999999
"Татьяна оперативно решила вопрос,очень отзывчивая 👍",0,0,0,0,0,3901616,5,18.599999999999998
"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо.",0,0,0,0,0,3901987,5,23.4
"Спасибо что убрали надпись. Думал, будет аккуратнее",0,0,0,0,0,3902000,4,18.299999999999997
все быстро и четко,0,0,0,0,0,3902088,5,6.8999999999999995
"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо!",0,0,0,0,0,3902093,5,36.9
спасибо за помощь от подключившихся инженеров.,0,0,0,0,0,3902383,5,15.899999999999999
Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,0,0,0,0,0,3902482,5,39.3
Вопрос был решен оперативно) спасибо большое!,0,0,0,0,0,3902529,5,16.599999999999998
Молодцы!,0,0,0,0,0,3902558,5,2.8000000000000003
Все ок ) спасибо,0,0,0,0,0,3902632,5,5.8999999999999995
"красавцы, быстро, оперативно, очень приятно в общении",0,0,0,0,0,3902786,5,19.099999999999998
Оперативно как всегда,0,0,0,0,0,3903272,5,7.6000000000000005
"Большое спасибо , оперативно поставили ограничители",0,0,0,0,0,3903349,5,17.9
спасибо! быстро и оперативно,0,0,0,0,0,3903406,5,10.500000000000002
"Оперативно, спасибо",0,0,0,0,0,3903453,5,6.9
Спасибо за оперативность,0,0,0,0,0,3903479,5,8.6
Спасибо большое за оперативность 🙌🏻🌸,0,0,0,0,0,3903556,5,12.799999999999999
Вот теперь молодцы,0,0,0,0,0,3903607,5,6.4
все отлично бистро устранили мастер хороши,0,0,0,0,0,3903626,5,15.4
"спасибо, проблема была решена",0,0,0,0,0,3903666,5,10.7
"спасибо за оперативность и грамотный, развёрнутый ответ)",0,0,0,0,0,3903709,5,19.6
Спасибо большое! Заявка выполнена быстро и качественно!,0,0,0,0,0,3903741,5,19.799999999999997
Огромное спасибо,0,0,0,0,0,3903798,5,5.7
Супер!!!,0,0,0,0,0,3903951,5,2.8000000000000003
Выполнено быстро и качественно!,0,0,0,0,0,3903997,5,11.299999999999999
Большое спасибо Василию за проделанную работу!,0,0,0,0,0,3904265,5,16.1
"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",0,0,0,0,0,3904421,5,30.499999999999996
"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",0,0,0,0,0,3904489,5,35.300000000000004
"быстро отреагировали, запустили",0,0,0,0,0,3904503,5,10.799999999999999
Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,0,0,0,0,0,3904606,5,26.000000000000004
Оперативно и надежно),0,0,0,0,0,3904693,5,7.6000000000000005
Отлично,0,0,0,0,0,3904810,5,2.5000000000000004
"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",0,0,0,0,0,3904847,5,52.99999999999999
"Все супер, Очень оперативно и профессионально, Спасибо",0,0,0,0,0,3904911,5,19.299999999999997
Всё быстро и качественно!👍,0,0,0,0,0,3905059,5,9.6
"Тот кто выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻",0,0,0,0,0,3905086,5,22.999999999999996
"спасибо,жду бумажные платежные поручения со следующего месяца",0,0,0,0,0,3905337,5,21.2
работает! Спасибо,0,0,0,0,0,3905785,5,6.0
"Спасибо электрику, оперативно пришёл!",0,0,0,0,0,3905786,5,13.1
все отлично!,0,0,0,0,0,3905983,5,4.2
"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить",0,0,0,0,0,3906048,5,35.1
Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. Молодец!,0,0,0,0,0,3906126,5,33.1
спасибо большое за работу и оперативность,0,0,0,0,0,3906380,5,14.699999999999998
Все быстро и качественно,0,0,0,0,0,3906535,5,9.0
"спасибо большое, жаль, что там уже опять намусорили(",0,0,0,0,0,3906752,5,18.700000000000003
"спасибо, теперь она закрывается",0,0,0,0,0,3906789,5,11.0
"Спасибо большое за оперативность,мир и процветание вашей компании Самолет!",0,0,0,0,0,3906976,5,26.0
Спасибо за оперативность!,0,0,0,0,0,3907130,5,8.9
Спасибо..,0,0,0,0,0,3907305,5,3.1999999999999997
"очень вежливая и грамотная сотрудница, побольше бы таких!",0,0,0,0,0,3907364,5,19.9
спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,0,0,0,0,0,3907480,5,27.7
все прекрасно,0,0,0,0,0,3907589,5,4.5
"все быстро и качественно, большое спасибо!",0,0,0,0,0,3907672,5,15.299999999999999
Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации,0,0,0,0,0,3907792,5,28.2
"Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично.",0,0,0,0,0,3907928,5,28.1
Спасибо за оперативность.,0,0,0,0,0,3907943,5,8.9
Спасибо за работу,0,0,0,0,0,3908011,5,6.2
Быстро,0,0,0,0,0,3908377,5,2.4999999999999996
Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени,0,0,0,0,0,3908429,5,26.499999999999996
"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.",0,0,0,0,0,3908490,4,30.0
спасибо за четкость и быстроту!,0,0,0,0,0,3908579,5,11.299999999999999
"Консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо!",0,0,0,0,0,3908590,5,33.6
"мастер выполнил работу быстро и чисто, все отлично",0,0,0,0,0,3908772,5,18.7
Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!,0,0,0,0,0,3908843,5,32.300000000000004
быстро,0,0,0,0,0,3909050,5,2.4999999999999996
спасибо за оперативный ответ😊👍,0,0,0,0,0,3909086,5,10.6
Оперативно выполнили заявку. Спасибо,0,0,0,0,0,3909271,5,13.1
спасибо специалисту.,0,0,0,0,0,3909398,5,7.2
Огромнейшее спасибо за оперативность❤️,0,0,0,0,0,3909441,5,13.0
Спасибо огромнейшее за оперативность ❤️,0,0,0,0,0,3909442,5,13.7
Все решили! Перезвонили . Спасибо,0,0,0,0,0,3909595,5,11.9
Очень быстро все сделали!!!!,0,0,0,0,0,3909682,5,10.4
Огромное Спасибо.,0,0,0,0,0,3909709,5,6.0
Все отлично. Жаль что для сотрудников компании на данные услуги не действуют скидки.,0,0,0,0,0,3909787,5,29.700000000000003
очень быстро,0,0,0,0,0,3909810,5,4.699999999999999
Спасибо !!!!все супер,0,0,0,0,0,3909888,5,7.3999999999999995
спасибо большое!,0,0,0,0,0,3909979,5,5.7
"Специалист пришёл очень быстро, все быстро исправил. Спасибо.",0,0,0,0,0,3910052,5,22.3
"всё супер, вопрос решён быстро)",0,0,0,0,0,3910060,5,11.7
Очень надеюсь что квитанция будет дублироваться и в приложении. А так оперативно и быстро поступила.,0,0,0,0,0,3910089,5,35.2
спасибо большое за быстрое реагирование.,0,0,0,0,0,3910166,5,14.2
спасибо девочкам операторам!,0,0,0,0,0,3910233,5,9.700000000000001
"Менеджер Елизавета очень быстро решила мой вопрос, спасибо!",0,0,0,0,0,3910259,5,22.2
"спасибо, но придумайте, пожалуйста, способ как этого избежать на будущее.",0,0,0,0,0,3910269,5,25.2
"Спасибо за работу, выполнена качественно и в срок",0,0,0,0,0,3910346,5,17.700000000000003
Спасибо !!,0,0,0,0,0,3910395,5,3.6999999999999997
Прям молодцы! Порадовали) все четко),0,0,0,0,0,3910406,5,12.399999999999999
Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!,0,0,0,0,0,3910434,5,34.4
"Да, подтверждаю ! Вчера вечером обнаружила что устранено. Спасибо",0,0,0,0,0,3910685,5,22.6
Спасибо за помощь,0,0,0,0,0,3910841,5,6.2
Спасибо! Очень быстро сработали!,0,0,0,0,0,3910908,5,11.6
Добрый день. Спасибо за разъяснение. Всего вам хорошего.,0,0,0,0,0,3910977,5,19.900000000000002
молодец электрик оперативно решил проблему,0,0,0,0,0,3911065,5,15.799999999999999
Быстро и аккуратно!Благодарю!,0,0,0,0,0,3911104,5,10.799999999999999
спасибо большое! пусть убирают часто....,0,0,0,0,0,3911134,5,13.9
очень оперативно!,0,0,0,0,0,3911142,5,6.2
все вежливо и информативно ❤️,0,0,0,0,0,3911182,5,10.1
Спасибо вам за заботу о нас и нашем здоровье.Экология -это замечательно,0,0,0,0,0,3911339,5,24.8
спасибо за работу все быстро и качественно.,0,0,0,0,0,3911421,5,15.8
Спасибо большое! Проблема была решена очень быстро!,0,0,0,0,0,3911514,5,18.799999999999997
Отлично!!!,0,0,0,0,0,3911561,5,3.4000000000000004
Спасибо! оперативно и в полной мере ответили на мой вопрос 👌,0,0,0,0,0,3911570,5,22.299999999999997
"Быстро, качественно устранил наш засор",0,0,0,0,0,3911586,5,14.3
"Спасибо, все качественно и профессионально!",0,0,0,0,0,3911663,5,15.200000000000001
Быстро и качественно. Спасибо!,0,0,0,0,0,3911763,5,11.100000000000001
"отличная функция, спасибо",0,0,0,0,0,3911815,5,8.8
Спасибо за выполненную работу!,0,0,0,0,0,3911905,5,10.500000000000002
"очень оперативно, благодарю",0,0,0,0,0,3911957,5,9.899999999999999
спасибо большое!,0,0,0,0,0,3911972,5,5.7
"оперативно и четко. сделали аккуратно, прибрались после работы",0,0,0,0,0,3911983,5,22.299999999999997
Спасибо Александру за профессионализм и быструю работу.,0,0,0,0,0,3912007,5,19.599999999999998
спасибо большое!!!🤗,0,0,0,0,0,3912041,5,6.6000000000000005
"все отлично, сделали быстро и не дорого",0,0,0,0,0,3912121,5,14.5
Спасибо большое за оперативный ответ,0,0,0,0,0,3912185,5,12.999999999999998
Спасибо огромное менеджеру по страхованию Евгении Гущиной за помощь в оформлении страховки!!!! Настоящий профессионал своего дела!!! Исчерпывающе ответила на все интересующие вопросы!!!!,0,0,0,0,0,3912199,5,64.6
"Оперативно,профессионально,спасибо",0,0,0,0,0,3912225,5,11.7
"Специалист связывался по заявке, все починили! Спасибо",0,0,0,0,0,3912227,5,19.0
"В течении 2 часов после создания заявки все устранили, спасибо",0,0,0,0,0,3912230,5,22.2
Быстро решили проблему! Спасибо!,0,0,0,0,0,3912277,5,12.2
"Работа мастера, выполнена отлично! Проблема решилась только при личном визите в УК",0,0,0,0,0,3912521,5,29.9
Большое спасибо Оксане Петриной!,0,0,0,0,0,3912769,5,11.3
"Всё оперативно,спасибо!",0,0,0,0,0,3912975,5,8.1
Добрый день! Спасибо. Вопрос решен.,0,0,0,0,0,3913158,5,12.9
Все быстро и четко!!! Спасибо!,0,0,0,0,0,3913176,5,11.0
отлично всё работает,0,0,0,0,0,3913316,5,7.0
"Благодарность мастеру, сделал быстро и качественно. Премию Ренату. 🤝",0,0,0,0,0,3913442,5,25.099999999999998
Пришли вовремя) заранее позвонили уточнить удобное время) отличный мастер все сделал быстро и аккуратно),0,0,0,0,0,3913486,5,37.6
"отлично, спасибо!",0,0,0,0,0,3913490,5,6.0
"Проблема решена, быстро и оперативно..",0,0,0,0,0,3913676,5,14.100000000000001
"Всё отлично, спасибо!",0,0,0,0,0,3913730,5,7.3999999999999995
Очень быстро и вежливо)),0,0,0,0,0,3913971,5,8.9
Второй специалист все отлично решил. Спасибо.,0,0,0,0,0,3913976,5,16.4
Спасибо.,0,0,0,0,0,3914082,5,2.9
"Очень быстро и качественно, спасибо!",0,0,0,0,0,3914189,5,13.299999999999999
Спасибо Большое! Всё сделано супер!,0,0,0,0,0,3914351,5,12.4
Комод убран. Большое спасибо за оперативное решение,0,0,0,0,0,3914367,5,18.299999999999997
Очень быстро отреагировали и устранили проблему,0,0,0,0,0,3914571,5,17.2
