id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,original_rating,is_positive,comment_length,word_count,unique_words,speed_keywords,quality_keywords,staff_keywords,execution_keywords,solved_keywords,selection_score
3891489,5,"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист)",,,,,,5,True,114,12,15,0,0,2,0,1,40.49999999999999
3891568,5,спасибо! в тот же день электрик решил проблему.,,,,,,5,True,47,5,8,0,0,1,0,2,17.599999999999998
3891612,5,"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",,,,,,5,True,79,9,15,0,0,1,0,0,28.8
3892115,5,Спасибо большое за Вашу быструю и профессиональную помощь.,,,,,,5,True,58,5,8,1,1,1,0,0,20.9
3892189,5,"Все быстро, не смотря на поздний час.",,,,,,5,True,37,4,7,1,0,0,0,0,13.600000000000001
3892432,5,ответ был предоставлен оперативно и в полном объеме,,,,,,5,True,51,6,8,1,0,0,0,0,18.400000000000002
3892474,5,"Спасибо огромное, напор стал отличным!",,,,,,5,True,38,4,5,0,0,1,0,0,13.500000000000002
3892548,5,Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),,,,,,5,True,153,16,24,0,0,1,0,0,54.2
3892591,5,Спасибо мастеру Сергею за четкую работу!,,,,,,5,True,40,4,6,0,0,2,0,0,14.6
3892748,5,"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",,,,,,5,True,87,9,12,1,0,2,0,1,31.499999999999996
3892909,5,Спасибо.. все сделали быстро .. очень вежливые сотрудники.,,,,,,5,True,58,5,8,1,0,2,1,0,21.2
3893476,5,Заявка быстра принята в работу. Проблема решена. Спасибо!,,,,,,5,True,57,6,8,1,0,1,0,1,20.799999999999997
3893860,5,"Спасибо большое,всех благ и процветание вашей компании",,,,,,5,True,54,6,7,0,0,1,0,0,19.099999999999998
3894130,5,благодарю за быстро и качественно оказанную услугу,,,,,,5,True,50,5,7,1,1,1,0,0,18.299999999999997
3894902,5,Спасибо огромное! Оперативно и качественно решили проблему!,,,,,,5,True,59,5,7,1,1,1,0,2,21.599999999999998
3895042,5,"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое",,,,,,5,True,62,7,9,0,0,1,0,0,22.099999999999998
3895634,5,"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением!",,,,,,5,True,87,8,13,1,0,1,0,0,30.900000000000002
3895925,5,"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",,,,,,5,True,153,16,21,1,0,1,0,0,53.900000000000006
3896509,5,Приходил мастер все отрегулировал большое спасибо,,,,,,5,True,49,4,6,0,0,2,0,0,17.3
3896928,5,"Ответ получен. Спасибо, что результатом стало уточнение и меня поняли.",,,,,,5,True,70,7,10,0,0,1,0,0,24.7
3896945,5,"Благодарю за обратную связь. За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. При звонке было вежливое, доброжелательное отношение.",,,,,,5,True,198,20,26,0,0,1,0,1,69.19999999999999
3897000,5,Очень быстро отреагировали. Работа качественная!,,,,,,5,True,48,5,5,1,1,0,0,0,17.0
3897281,5,Спасибо большое за информацию. Татьяна молодец!,,,,,,5,True,47,4,6,0,0,2,0,0,16.700000000000003
3897654,5,"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю.",,,,,,5,True,98,11,12,0,0,2,0,0,34.6
3897730,5,Все было сделано быстро и качественно.,,,,,,5,True,38,4,6,1,1,0,0,0,14.000000000000002
3897831,5,"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо",,,,,,5,True,87,11,13,1,0,1,0,0,31.5
3898045,5,"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",,,,,,5,True,95,9,15,0,0,1,0,0,33.599999999999994
3898417,5,"быстро позвонили, пришли все сделали,спасибо",,,,,,5,True,44,4,5,1,0,1,1,0,15.9
3898427,5,"Молодцы, очень оперативно!!!!! Прям минус одна головная боль",,,,,,5,True,60,6,8,1,0,0,0,0,21.1
3899012,5,"Просто и удобно, а также быстро и экономия времени и ресурсов .",,,,,,5,True,63,5,10,1,0,0,0,0,22.2
3901194,5,Владимир грамотно и здорово и быстро все сделал,,,,,,5,True,47,4,7,1,0,0,1,0,16.900000000000002
3901257,5,"Спасибо! Сервис работает, это самое главное :)",,,,,,5,True,46,4,7,0,0,1,0,0,16.3
3901616,5,"Татьяна оперативно решила вопрос,очень отзывчивая 👍",,,,,,5,True,51,6,6,1,0,0,0,2,18.599999999999998
3901987,5,"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо.",,,,,,5,True,68,5,7,1,0,1,0,0,23.4
3902000,5,"Спасибо что убрали надпись. Думал, будет аккуратнее",,,,,,4,True,51,5,7,0,1,1,0,0,18.299999999999997
3902093,5,"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо!",,,,,,5,True,104,12,12,0,1,2,0,0,36.9
3902482,5,Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,,,,,,5,True,111,10,14,1,1,2,0,0,39.3
3902529,5,Вопрос был решен оперативно) спасибо большое!,,,,,,5,True,45,5,6,1,0,1,0,1,16.599999999999998
3902786,5,"красавцы, быстро, оперативно, очень приятно в общении",,,,,,5,True,53,6,7,2,0,0,0,0,19.099999999999998
3903349,5,"Большое спасибо , оперативно поставили ограничители",,,,,,5,True,51,4,6,1,0,1,0,0,17.9
3903626,5,все отлично бистро устранили мастер хороши,,,,,,5,True,42,5,6,0,0,1,0,1,15.4
3903709,5,"спасибо за оперативность и грамотный, развёрнутый ответ)",,,,,,5,True,56,4,7,1,0,1,0,0,19.6
3903741,5,Спасибо большое! Заявка выполнена быстро и качественно!,,,,,,5,True,55,5,7,1,1,1,0,0,19.799999999999997
3904265,5,Большое спасибо Василию за проделанную работу!,,,,,,5,True,46,4,6,0,0,1,0,0,16.1
3904421,5,"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",,,,,,5,True,82,10,15,0,0,2,0,1,30.499999999999996
3904489,5,"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",,,,,,5,True,99,10,12,1,0,2,0,1,35.300000000000004
3904606,5,Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,,,,,,5,True,76,5,8,1,0,1,0,0,26.000000000000004
3904847,5,"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",,,,,,5,True,151,14,20,1,0,2,0,0,52.99999999999999
3904911,5,"Все супер, Очень оперативно и профессионально, Спасибо",,,,,,5,True,54,4,7,1,1,1,0,0,19.299999999999997
3905086,5,"Тот кто выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻",,,,,,5,True,63,7,9,1,0,1,1,0,22.999999999999996
3905337,5,"спасибо,жду бумажные платежные поручения со следующего месяца",,,,,,5,True,61,6,7,0,0,1,0,0,21.2
3906048,5,"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить",,,,,,5,True,97,11,16,0,0,1,0,1,35.1
3906126,5,Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. Молодец!,,,,,,5,True,91,12,14,0,0,1,0,1,33.1
3906752,5,"спасибо большое, жаль, что там уже опять намусорили(",,,,,,5,True,52,6,8,0,0,1,0,0,18.700000000000003
3906976,5,"Спасибо большое за оперативность,мир и процветание вашей компании Самолет!",,,,,,5,True,74,7,9,1,0,1,0,0,26.0
3907480,5,спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,,,,,,5,True,80,7,10,0,0,1,0,0,27.7
3907792,5,Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации,,,,,,5,True,82,6,9,0,1,1,0,0,28.2
3907928,5,"Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично.",,,,,,5,True,79,8,11,0,0,1,0,1,28.1
3908429,5,Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени,,,,,,5,True,73,7,10,1,0,2,0,1,26.499999999999996
3908490,5,"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.",,,,,,4,True,87,8,10,0,0,1,0,0,30.0
3908590,5,"Консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо!",,,,,,5,True,96,8,10,1,2,1,0,0,33.6
3908772,5,"мастер выполнил работу быстро и чисто, все отлично",,,,,,5,True,50,6,8,1,0,1,1,0,18.7
3908843,5,Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!,,,,,,5,True,90,9,13,2,0,1,0,0,32.300000000000004
3909787,5,Все отлично. Жаль что для сотрудников компании на данные услуги не действуют скидки.,,,,,,5,True,84,8,13,0,0,1,0,0,29.700000000000003
3910052,5,"Специалист пришёл очень быстро, все быстро исправил. Спасибо.",,,,,,5,True,61,6,8,1,0,2,0,1,22.3
3910060,5,"всё супер, вопрос решён быстро)",,,,,,5,True,31,4,5,1,0,0,0,1,11.7
3910089,5,Очень надеюсь что квитанция будет дублироваться и в приложении. А так оперативно и быстро поступила.,,,,,,5,True,100,9,14,2,0,0,0,0,35.2
3910259,5,"Менеджер Елизавета очень быстро решила мой вопрос, спасибо!",,,,,,5,True,59,7,8,1,0,2,0,2,22.2
3910269,5,"спасибо, но придумайте, пожалуйста, способ как этого избежать на будущее.",,,,,,5,True,73,5,10,0,0,1,0,0,25.2
3910346,5,"Спасибо за работу, выполнена качественно и в срок",,,,,,5,True,49,4,8,0,1,1,0,0,17.700000000000003
3910434,5,Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!,,,,,,5,True,93,11,14,1,1,1,0,2,34.4
3910685,5,"Да, подтверждаю ! Вчера вечером обнаружила что устранено. Спасибо",,,,,,5,True,65,5,9,0,0,1,0,0,22.6
3910977,5,Добрый день. Спасибо за разъяснение. Всего вам хорошего.,,,,,,5,True,56,6,8,0,0,1,0,0,19.900000000000002
3911065,5,молодец электрик оперативно решил проблему,,,,,,5,True,42,5,5,1,0,1,0,2,15.799999999999999
3911339,5,Спасибо вам за заботу о нас и нашем здоровье.Экология -это замечательно,,,,,,5,True,71,5,11,0,0,1,0,0,24.8
3911514,5,Спасибо большое! Проблема была решена очень быстро!,,,,,,5,True,51,6,7,1,0,1,0,1,18.799999999999997
3911570,5,Спасибо! оперативно и в полной мере ответили на мой вопрос 👌,,,,,,5,True,60,6,11,1,0,1,0,1,22.299999999999997
3911586,5,"Быстро, качественно устранил наш засор",,,,,,5,True,38,5,5,1,1,0,0,1,14.3
3911983,5,"оперативно и четко. сделали аккуратно, прибрались после работы",,,,,,5,True,62,6,8,1,1,0,1,0,22.299999999999997
3912007,5,Спасибо Александру за профессионализм и быструю работу.,,,,,,5,True,55,4,7,1,1,1,0,0,19.599999999999998
3912121,5,"все отлично, сделали быстро и не дорого",,,,,,5,True,39,4,7,1,0,0,1,0,14.5
3912199,5,Спасибо огромное менеджеру по страхованию Евгении Гущиной за помощь в оформлении страховки!!!! Настоящий профессионал своего дела!!! Исчерпывающе ответила на все интересующие вопросы!!!!,,,,,,5,True,186,16,22,0,1,2,0,1,64.6
3912227,5,"Специалист связывался по заявке, все починили! Спасибо",,,,,,5,True,54,4,7,0,0,2,0,0,19.0
3912230,5,"В течении 2 часов после создания заявки все устранили, спасибо",,,,,,5,True,62,5,10,0,0,1,0,1,22.2
3912521,5,"Работа мастера, выполнена отлично! Проблема решилась только при личном визите в УК",,,,,,5,True,82,10,12,0,0,1,0,2,29.9
3913158,5,Добрый день! Спасибо. Вопрос решен.,,,,,,5,True,35,4,5,0,0,1,0,1,12.9
3913442,5,"Благодарность мастеру, сделал быстро и качественно. Премию Ренату. 🤝",,,,,,5,True,68,7,9,1,1,2,1,0,25.099999999999998
3913486,5,Пришли вовремя) заранее позвонили уточнить удобное время) отличный мастер все сделал быстро и аккуратно),,,,,,5,True,104,12,14,1,1,1,1,0,37.6
3913676,5,"Проблема решена, быстро и оперативно..",,,,,,5,True,38,4,5,2,0,0,0,1,14.100000000000001
3913976,5,Второй специалист все отлично решил. Спасибо.,,,,,,5,True,45,4,6,0,0,2,0,1,16.4
3914367,5,Комод убран. Большое спасибо за оперативное решение,,,,,,5,True,51,5,7,1,0,1,0,0,18.299999999999997
3914571,5,Очень быстро отреагировали и устранили проблему,,,,,,5,True,47,5,6,1,0,0,0,2,17.2
3914622,5,Вот теперь все данные правильно внесены. Спасибо.,,,,,,5,True,49,4,7,0,0,1,0,0,17.2
3915543,5,Быстро среагировали и решили проблему. Спасибо!,,,,,,5,True,47,4,6,1,0,1,0,2,17.3
3916307,5,Добрый день! Вопрос решен очень быстро! Благодарю за работу и оперативность),,,,,,5,True,76,9,11,2,0,1,0,1,28.0
3917220,5,все очень быстро и качественно сделал сантехник Сергей!,,,,,,5,True,55,6,8,1,1,0,1,0,20.2
3917445,5,"Большое спасибо, очень внимательно и клиентоориентированность на высшем уровне",,,,,,5,True,78,6,9,0,0,1,0,0,26.7
3918118,5,"Быстро выявили ошибку в показаниях, и не стала делать в убыток мне . Позвонила мне , уточнила и решила всё. Огромное спасибо Вам . ✈️ меняется в лучшую сторону",,,,,,5,True,159,17,24,1,0,1,0,1,56.79999999999999
3918647,5,Спасибо большое! Выполнили работу быстро и аккуратно!,,,,,,5,True,53,5,7,1,1,1,1,0,19.499999999999996
3919099,5,Спасибо за выписки. Счет на эту сумму когда подкрепят в приложение?,,,,,,5,True,67,6,11,0,0,1,0,0,23.799999999999997
3919253,5,"оперативно устранили, дали консультацию",,,,,,5,True,39,4,4,1,0,0,0,1,13.9
3919349,5,спасибо огромное специалисту за оперативность и профессионализм.,,,,,,5,True,64,4,7,1,1,2,0,0,22.599999999999998
3919607,5,Все отлично! Спасибо за быстрое устранение проблемы),,,,,,5,True,52,4,7,1,0,1,0,1,18.699999999999996
3919776,5,"Оперативно среагировали, пришло большое количество строителей и помогли убрать всю воду.",,,,,,5,True,88,10,11,1,0,0,0,0,30.9
3920112,5,"Спасибо большое, что все быстро починили!!! Спасибо за хорошую работу!",,,,,,5,True,70,5,9,1,0,1,0,0,24.400000000000002
3920519,5,Спасибо Татьяне!) Быстро и понятно все объяснила!),,,,,,5,True,50,4,7,1,0,1,0,0,17.8
3920898,5,"Вопрос был решен оперативно . Спасибо как сантехнику , так и менеджеру . К сожалению не спросила имена .",,,,,,5,True,104,9,17,1,0,2,0,1,37.6
3920982,5,Выполнено быстро и качественно. Починили перила.,,,,,,5,True,48,5,6,1,1,0,0,0,17.2
3921087,5,"спасибо большое, очень быстро и оперативно ,мастер классный , отлично знает свою работу",,,,,,5,True,87,10,13,2,0,2,0,0,31.9
3921169,5,сантехник пришел в течение 20 минут. вежливый. проблему разрешил .,,,,,,5,True,66,7,10,0,0,0,0,2,23.8
3921394,5,спасибо сегодня возвращался домой и запаха не почувствовал,,,,,,5,True,58,5,8,0,0,1,0,0,20.3
3921414,5,Электрик прибежал оперативно и отключил сигнал пожарной тревоги.,,,,,,5,True,64,7,8,1,0,0,0,0,22.5
3921888,5,Спасибо за прямую связь со специалистом который смог устранить неисправность!,,,,,,5,True,77,7,10,0,0,2,0,0,27.099999999999998
3922048,5,"днём звонили был занят за рулём извините,,,, вечером пришли домой всё пересмотрели проверили вашу информацию спасибо нам всё понятно всё на каждый вопрос Вы ответили!!! спасибо Вам большое.!!!",,,,,,5,True,192,20,25,0,0,1,0,1,67.19999999999999
3922350,5,Очень оперативно! всë исправили,,,,,,5,True,31,4,4,1,0,0,0,1,11.5
3922415,5,"Отзвонились, зафиксировали, дежурный электрик молодец 👏🏻",,,,,,5,True,56,5,6,0,0,1,0,0,19.3
3922516,5,спасибо огромное за быстрое решение моей заявки! 👍,,,,,,5,True,50,5,8,1,0,1,0,0,18.200000000000003
3922726,5,"Электрик пришел, все проверил и нам объяснил все. Спасибо большое!",,,,,,5,True,66,6,10,0,0,1,0,0,23.3
3923075,5,Спасибо большое за оперативность! Хорошего дня вам!,,,,,,5,True,51,5,7,1,0,1,0,0,18.299999999999997
3923181,5,Все хорошо ! Быстро пришел мастер сделал все четко .,,,,,,5,True,52,6,9,1,0,1,1,0,19.5
3923395,5,"Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.",,,,,,5,True,86,9,11,1,1,2,1,0,31.3
3923512,5,"Отличный специалист, вопрос решен. Спасибо.",,,,,,5,True,43,4,5,0,0,2,0,1,15.600000000000001
3923554,5,устранили неполадку очень оперативно и качественно. большое спасибо.,,,,,,5,True,68,6,8,1,1,1,0,1,24.4
3924430,5,"Спасибо! Не делайте так больше, или хотя бы заранее предупреждайте о раннем отключении воды, чтоб люди с вечера успели её набрать!!",,,,,,5,True,131,12,21,0,0,1,0,0,46.199999999999996
3924911,5,"Спасибо большое мастеру, все починил, объяснил!",,,,,,5,True,47,4,6,0,0,2,0,0,16.700000000000003
3925142,5,спасибо большое всем кто помог решить данную проблему,,,,,,5,True,53,7,8,0,0,1,0,1,19.5
3925271,5,"Спасибо огромное Петрине Оксане Вдадимировне. Из 5 заявок только она смогла правильно ответить на заявку. А остальных можете увольнять ,работают видно для галочки.",,,,,,5,True,163,16,23,0,0,1,0,0,57.0
3925459,5,замечательный шутро и быстро сделали Молодец 👍,,,,,,5,True,46,5,7,1,0,1,1,0,17.099999999999998
3925871,5,Оперативно. Очень вежливый сантехник. Приятно было общаться и получить решение проблемы через 25 минут. Спасибо.,,,,,,5,True,112,11,15,1,0,1,0,1,39.7
3926847,5,Сотрудник позвонил и всё понятно объяснил. Спасибо.,,,,,,5,True,51,4,7,0,0,2,0,0,18.099999999999998
3926885,5,Спасибо Вам Татьяна. Хорошего дня 🤝👍😎,,,,,,5,True,37,4,6,0,0,1,0,0,13.400000000000002
3927330,5,"Сотрудник супер,вежливый и работа выполнена на 5+",,,,,,5,True,49,5,7,0,0,1,0,0,17.4
3927378,5,Спасибо. Очень быстро приняли меры.,,,,,,5,True,35,4,5,1,0,1,0,0,12.9
3927621,5,"отзывчивые менеджеры, всем спасибо за быстроту",,,,,,5,True,46,4,6,1,0,2,0,0,16.7
3927815,5,Оперативно и четко решен вопрос. Благодарю.,,,,,,5,True,43,5,6,1,0,1,0,1,16.0
3928192,5,спасибо большое за помощь!Мария решила быстро вопрос.Настоящий специалист.,,,,,,5,True,74,6,8,1,0,2,0,2,26.5
3928290,5,"Благодаря помощи Анастасии, быстро всё решили. Отличная, оперативная работа",,,,,,5,True,75,7,9,2,0,1,0,1,26.9
3928349,5,Все устранили в короткие сроки. Молодцы,,,,,,5,True,39,4,6,0,0,0,0,1,14.0
3928497,5,"быстро, качественно, без лишних вопросов и нюансов",,,,,,5,True,50,5,7,1,1,0,0,1,18.299999999999997
3929549,5,"Оказалось, что это не авария, а нюансы системы водоснабжения и отопления. Всё подробно объяснили, спасибо!)",,,,,,5,True,107,8,15,0,0,1,0,0,37.0
3929557,5,"Спасибо. Отличная работа, прекрасный коллектив",,,,,,5,True,46,4,5,0,0,1,0,0,15.9
3930202,5,Спасибо большое за оперативное реагирование и устранение неисправностей!,,,,,,5,True,72,5,8,1,0,1,0,0,24.8
3930255,5,Большое спасибо за оперативность решения вопроса!,,,,,,5,True,49,4,6,1,0,1,0,1,17.599999999999998
3930751,5,"Электрик быстро пришёл и всё устранил! Спасибо, очень доволен работой!",,,,,,5,True,70,7,10,1,0,1,0,1,25.299999999999997
3930767,5,"Спасибо за оперативность, желательно проверить и другие столбы освещения",,,,,,5,True,72,6,9,1,0,1,0,0,25.2
3930927,5,Оперативно и качественно мастер решил проблему! Огромное спасибо ему.,,,,,,5,True,69,7,9,1,1,2,0,2,25.7
3932129,5,"Оперативно, аккуратно, в удобное время.",,,,,,5,True,39,4,5,1,1,0,0,0,14.1
3932312,5,"Быстро обработали заявку, спасибо за оперативность",,,,,,5,True,50,4,6,2,0,1,0,0,17.9
3932575,5,Хороший мастер сделал всё быстро,,,,,,5,True,32,4,5,1,0,1,1,0,12.3
3932946,5,"Мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. Спасибо!",,,,,,5,True,109,10,15,0,0,2,0,2,38.9
3932950,5,Все сделали очень быстро! Спасибо большое!,,,,,,5,True,42,4,6,1,0,1,1,0,15.500000000000002
3932971,5,"При личном общении были решены все вопросы, полное взаимопонимание, отлично выполненная работа...",,,,,,5,True,97,10,12,0,0,0,0,1,33.8
3933243,5,"очень быстро отреагировали..посмотрим ,как дальше будет..",,,,,,5,True,57,6,6,1,0,0,0,0,19.799999999999997
3933289,5,"Здравствуйте. Спасибо Геннадию за работу. Все проверил и решил работу. Просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере.",,,,,,5,True,197,16,27,0,0,2,0,2,68.9
3933331,5,"Благодарю за оперативное решение. Ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.Очень клиентоориентированный подход! Спасибо!",,,,,,5,True,170,14,19,1,0,3,0,0,58.8
3934049,5,"Огромное спасибо, очень помогли! Быстро и профессионально!",,,,,,5,True,58,5,7,1,1,1,0,0,20.699999999999996
3934243,5,"Спасибо огромное Татьяне, вопрос решился очень оперативно и четко.",,,,,,5,True,66,7,9,1,0,1,0,2,24.2
3934485,5,"Спасибо оператору, деж. (аварийной) смене за оперативную работу!!!",,,,,,5,True,66,6,8,1,0,1,0,0,23.200000000000003
3934549,5,"Отреагировали оперативно, проблему решили и исправили по звонку телефона!",,,,,,5,True,73,7,9,1,0,0,0,3,26.299999999999997
3934613,5,Ольга Птушкина очень быстро и грамотно решила наш вопрос .Большое спасибо !!!,,,,,,5,True,77,8,12,1,0,1,0,2,28.3
3934651,5,очень оперативно внесли данные по поверке,,,,,,5,True,41,5,6,1,0,0,0,0,14.8
3934695,5,"Спасибо Вам большое, быстро среагировали",,,,,,5,True,40,4,5,1,0,1,0,0,14.4
3934913,5,"Сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся",,,,,,5,True,127,15,16,1,1,0,0,2,45.50000000000001
3935268,5,Большое спасибо я! Оперативно все сделали!,,,,,,5,True,42,4,6,1,0,1,1,0,15.500000000000002
3936198,5,"Татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в Пригороде Лесном. Татьяна максимально ответственный и отзывчивый человек! Лучший сотрудник в Управляющей компании, по моему личному мнению!",,,,,,5,True,236,23,28,1,0,1,0,1,81.89999999999999
