comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,id,original_rating,selection_score
Приходил мастер все отрегулировал большое спасибо,0,0,1,1,1,3896509,5,17.3
"Ответ получен. Спасибо, что результатом стало уточнение и меня поняли.",0,0,0,1,1,3896928,5,24.7
"Благодарю за обратную связь. За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. При звонке было вежливое, доброжелательное отношение.",0,0,1,1,1,3896945,5,69.19999999999999
Очень быстро отреагировали. Работа качественная!,1,1,0,1,0,3897000,5,17.0
Спасибо большое за информацию. Татьяна молодец!,0,0,1,1,0,3897281,5,16.700000000000003
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю.",1,1,1,1,1,3897654,5,34.6
Все было сделано быстро и качественно.,1,1,0,0,0,3897730,5,14.000000000000002
"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо",1,0,0,0,1,3897831,5,31.5
"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",0,0,1,0,0,3898045,5,33.599999999999994
"быстро позвонили, пришли все сделали,спасибо",1,1,1,0,1,3898417,5,15.9
"Молодцы, очень оперативно!!!!! Прям минус одна головная боль",1,0,0,0,1,3898427,5,21.1
"Просто и удобно, а также быстро и экономия времени и ресурсов .",1,1,0,0,0,3899012,5,22.2
Владимир грамотно и здорово и быстро все сделал,1,0,1,1,0,3901194,5,16.900000000000002
"Спасибо! Сервис работает, это самое главное :)",0,0,0,0,1,3901257,5,16.3
"Татьяна оперативно решила вопрос,очень отзывчивая 👍",1,0,1,0,1,3901616,5,18.599999999999998
"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо.",1,0,1,1,0,3901987,5,23.4
"Спасибо что убрали надпись. Думал, будет аккуратнее",0,1,0,0,1,3902000,4,18.299999999999997
"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо!",0,1,1,1,1,3902093,5,36.9
Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,1,1,1,1,1,3902482,5,39.3
Вопрос был решен оперативно) спасибо большое!,1,0,0,0,1,3902529,5,16.599999999999998
"красавцы, быстро, оперативно, очень приятно в общении",1,0,1,0,0,3902786,5,19.099999999999998
"Большое спасибо , оперативно поставили ограничители",1,0,0,0,1,3903349,5,17.9
все отлично бистро устранили мастер хороши,1,0,1,0,1,3903626,5,15.4
"спасибо за оперативность и грамотный, развёрнутый ответ)",1,0,1,0,0,3903709,5,19.6
Спасибо большое! Заявка выполнена быстро и качественно!,1,1,0,0,1,3903741,5,19.799999999999997
Большое спасибо Василию за проделанную работу!,0,0,1,1,0,3904265,5,16.1
"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",0,0,1,0,1,3904421,5,30.499999999999996
"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",1,0,1,1,1,3904489,5,35.300000000000004
Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,1,1,0,0,1,3904606,5,26.000000000000004
"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",1,1,1,1,1,3904847,5,52.99999999999999
"Все супер, Очень оперативно и профессионально, Спасибо",1,1,1,1,0,3904911,5,19.299999999999997
"Тот кто выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻",1,0,1,0,1,3905086,5,22.999999999999996
"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить",0,1,1,0,1,3906048,5,35.1
Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. Молодец!,0,1,1,0,1,3906126,5,33.1
"спасибо большое, жаль, что там уже опять намусорили(",0,0,0,0,1,3906752,5,18.700000000000003
"Спасибо большое за оперативность,мир и процветание вашей компании Самолет!",1,0,0,1,0,3906976,5,26.0
Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации,0,1,1,1,0,3907792,5,28.2
"Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично.",0,1,0,1,1,3907928,5,28.1
Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени,1,0,1,0,1,3908429,5,26.499999999999996
"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.",0,0,0,0,1,3908490,4,30.0
"Консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо!",1,1,1,1,0,3908590,5,33.6
"мастер выполнил работу быстро и чисто, все отлично",1,1,1,1,1,3908772,5,18.7
Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!,1,0,1,1,1,3908843,5,32.300000000000004
"Специалист пришёл очень быстро, все быстро исправил. Спасибо.",1,0,1,0,1,3910052,5,22.3
"всё супер, вопрос решён быстро)",1,0,0,0,1,3910060,5,11.7
Очень надеюсь что квитанция будет дублироваться и в приложении. А так оперативно и быстро поступила.,1,0,0,0,0,3910089,5,35.2
"Менеджер Елизавета очень быстро решила мой вопрос, спасибо!",1,0,1,0,1,3910259,5,22.2
"Спасибо за работу, выполнена качественно и в срок",1,1,0,1,0,3910346,5,17.700000000000003
Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!,1,0,1,0,1,3910434,5,34.4
"Да, подтверждаю ! Вчера вечером обнаружила что устранено. Спасибо",0,0,0,0,1,3910685,5,22.6
молодец электрик оперативно решил проблему,1,0,1,0,1,3911065,5,15.799999999999999
Спасибо большое! Проблема была решена очень быстро!,1,0,0,0,1,3911514,5,18.799999999999997
Спасибо! оперативно и в полной мере ответили на мой вопрос 👌,1,0,0,0,1,3911570,5,22.299999999999997
"Быстро, качественно устранил наш засор",1,1,0,1,1,3911586,5,14.3
"оперативно и четко. сделали аккуратно, прибрались после работы",1,1,1,1,0,3911983,5,22.299999999999997
Спасибо Александру за профессионализм и быструю работу.,1,0,1,0,0,3912007,5,19.599999999999998
"все отлично, сделали быстро и не дорого",1,1,0,1,0,3912121,5,14.5
Спасибо огромное менеджеру по страхованию Евгении Гущиной за помощь в оформлении страховки!!!! Настоящий профессионал своего дела!!! Исчерпывающе ответила на все интересующие вопросы!!!!,0,0,1,0,1,3912199,5,64.6
"Специалист связывался по заявке, все починили! Спасибо",0,0,1,1,1,3912227,5,19.0
"В течении 2 часов после создания заявки все устранили, спасибо",1,0,0,1,1,3912230,5,22.2
"Работа мастера, выполнена отлично! Проблема решилась только при личном визите в УК",0,1,1,0,1,3912521,5,29.9
Добрый день! Спасибо. Вопрос решен.,0,0,0,0,1,3913158,5,12.9
"Благодарность мастеру, сделал быстро и качественно. Премию Ренату. 🤝",1,1,1,0,1,3913442,5,25.099999999999998
Пришли вовремя) заранее позвонили уточнить удобное время) отличный мастер все сделал быстро и аккуратно),1,1,1,1,1,3913486,5,37.6
"Проблема решена, быстро и оперативно..",1,0,0,0,1,3913676,5,14.100000000000001
Второй специалист все отлично решил. Спасибо.,0,0,1,0,1,3913976,5,16.4
Комод убран. Большое спасибо за оперативное решение,1,0,0,1,1,3914367,5,18.299999999999997
Очень быстро отреагировали и устранили проблему,1,0,0,0,1,3914571,5,17.2
Вот теперь все данные правильно внесены. Спасибо.,0,0,0,0,1,3914622,5,17.2
Быстро среагировали и решили проблему. Спасибо!,1,0,0,0,1,3915543,5,17.3
Добрый день! Вопрос решен очень быстро! Благодарю за работу и оперативность),1,0,1,0,1,3916307,5,28.0
все очень быстро и качественно сделал сантехник Сергей!,1,1,1,0,0,3917220,5,20.2
"Большое спасибо, очень внимательно и клиентоориентированность на высшем уровне",0,0,1,0,0,3917445,5,26.7
"Быстро выявили ошибку в показаниях, и не стала делать в убыток мне . Позвонила мне , уточнила и решила всё. Огромное спасибо Вам . ✈️ меняется в лучшую сторону",1,1,1,0,1,3918118,5,56.79999999999999
Спасибо большое! Выполнили работу быстро и аккуратно!,1,1,0,1,0,3918647,5,19.499999999999996
"оперативно устранили, дали консультацию",1,0,1,0,1,3919253,5,13.9
спасибо огромное специалисту за оперативность и профессионализм.,1,0,1,0,0,3919349,5,22.599999999999998
Все отлично! Спасибо за быстрое устранение проблемы),1,0,0,0,1,3919607,5,18.699999999999996
"Оперативно среагировали, пришло большое количество строителей и помогли убрать всю воду.",1,1,1,0,1,3919776,5,30.9
"Спасибо большое, что все быстро починили!!! Спасибо за хорошую работу!",1,1,1,0,1,3920112,5,24.400000000000002
Спасибо Татьяне!) Быстро и понятно все объяснила!),1,0,1,0,0,3920519,5,17.8
"Вопрос был решен оперативно . Спасибо как сантехнику , так и менеджеру . К сожалению не спросила имена .",1,0,1,0,1,3920898,5,37.6
Выполнено быстро и качественно. Починили перила.,1,1,0,1,1,3920982,5,17.2
"спасибо большое, очень быстро и оперативно ,мастер классный , отлично знает свою работу",1,1,1,0,0,3921087,5,31.9
сантехник пришел в течение 20 минут. вежливый. проблему разрешил .,1,0,1,0,1,3921169,5,23.8
спасибо сегодня возвращался домой и запаха не почувствовал,0,0,0,1,1,3921394,5,20.3
Электрик прибежал оперативно и отключил сигнал пожарной тревоги.,1,0,1,0,1,3921414,5,22.5
Спасибо за прямую связь со специалистом который смог устранить неисправность!,0,0,1,1,1,3921888,5,27.099999999999998
"днём звонили был занят за рулём извините,,,, вечером пришли домой всё пересмотрели проверили вашу информацию спасибо нам всё понятно всё на каждый вопрос Вы ответили!!! спасибо Вам большое.!!!",0,0,1,1,1,3922048,5,67.19999999999999
Очень оперативно! всë исправили,1,0,0,1,1,3922350,5,11.5
"Отзвонились, зафиксировали, дежурный электрик молодец 👏🏻",0,0,1,1,0,3922415,5,19.3
спасибо огромное за быстрое решение моей заявки! 👍,1,0,0,1,1,3922516,5,18.200000000000003
"Электрик пришел, все проверил и нам объяснил все. Спасибо большое!",0,0,1,1,1,3922726,5,23.3
Спасибо большое за оперативность! Хорошего дня вам!,1,0,0,1,0,3923075,5,18.299999999999997
Все хорошо ! Быстро пришел мастер сделал все четко .,1,1,1,1,1,3923181,5,19.5
"Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.",1,1,1,1,1,3923395,5,31.3
"Отличный специалист, вопрос решен. Спасибо.",0,0,1,1,1,3923512,5,15.600000000000001
устранили неполадку очень оперативно и качественно. большое спасибо.,1,1,0,1,1,3923554,5,24.4
"Спасибо большое мастеру, все починил, объяснил!",0,0,1,1,1,3924911,5,16.700000000000003
спасибо большое всем кто помог решить данную проблему,0,0,1,0,1,3925142,5,19.5
"Спасибо огромное Петрине Оксане Вдадимировне. Из 5 заявок только она смогла правильно ответить на заявку. А остальных можете увольнять ,работают видно для галочки.",0,0,1,0,1,3925271,5,57.0
замечательный шутро и быстро сделали Молодец 👍,1,0,1,1,0,3925459,5,17.099999999999998
Оперативно. Очень вежливый сантехник. Приятно было общаться и получить решение проблемы через 25 минут. Спасибо.,1,1,1,1,1,3925871,5,39.7
Сотрудник позвонил и всё понятно объяснил. Спасибо.,0,0,1,0,1,3926847,5,18.099999999999998
Спасибо Вам Татьяна. Хорошего дня 🤝👍😎,0,0,1,0,0,3926885,5,13.400000000000002
"Сотрудник супер,вежливый и работа выполнена на 5+",0,0,1,1,0,3927330,5,17.4
Спасибо. Очень быстро приняли меры.,1,0,0,0,1,3927378,5,12.9
"отзывчивые менеджеры, всем спасибо за быстроту",1,0,1,0,0,3927621,5,16.7
Оперативно и четко решен вопрос. Благодарю.,1,1,0,0,1,3927815,5,16.0
спасибо большое за помощь!Мария решила быстро вопрос.Настоящий специалист.,1,0,1,0,1,3928192,5,26.5
"Благодаря помощи Анастасии, быстро всё решили. Отличная, оперативная работа",1,1,1,0,1,3928290,5,26.9
Все устранили в короткие сроки. Молодцы,1,0,1,0,1,3928349,5,14.0
"быстро, качественно, без лишних вопросов и нюансов",1,1,0,1,0,3928497,5,18.299999999999997
"Оказалось, что это не авария, а нюансы системы водоснабжения и отопления. Всё подробно объяснили, спасибо!)",0,0,1,0,1,3929549,5,37.0
"Спасибо. Отличная работа, прекрасный коллектив",0,1,1,0,0,3929557,5,15.9
Спасибо большое за оперативное реагирование и устранение неисправностей!,1,0,1,0,0,3930202,5,24.8
Большое спасибо за оперативность решения вопроса!,1,0,0,0,1,3930255,5,17.599999999999998
"Электрик быстро пришёл и всё устранил! Спасибо, очень доволен работой!",1,0,1,1,0,3930751,5,25.299999999999997
"Спасибо за оперативность, желательно проверить и другие столбы освещения",1,0,0,0,0,3930767,5,25.2
Оперативно и качественно мастер решил проблему! Огромное спасибо ему.,1,1,1,0,1,3930927,5,25.7
"Оперативно, аккуратно, в удобное время.",1,1,0,1,0,3932129,5,14.1
"Быстро обработали заявку, спасибо за оперативность",1,0,0,0,1,3932312,5,17.9
Хороший мастер сделал всё быстро,1,0,1,1,0,3932575,5,12.3
"Мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. Спасибо!",1,0,1,0,1,3932946,5,38.9
Все сделали очень быстро! Спасибо большое!,1,0,0,1,1,3932950,5,15.500000000000002
"При личном общении были решены все вопросы, полное взаимопонимание, отлично выполненная работа...",0,0,1,1,1,3932971,5,33.8
"очень быстро отреагировали..посмотрим ,как дальше будет..",1,0,0,0,0,3933243,5,19.799999999999997
"Здравствуйте. Спасибо Геннадию за работу. Все проверил и решил работу. Просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере.",0,0,1,0,1,3933289,5,68.9
"Благодарю за оперативное решение. Ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.Очень клиентоориентированный подход! Спасибо!",1,0,1,1,1,3933331,5,58.8
"Огромное спасибо, очень помогли! Быстро и профессионально!",1,0,1,0,1,3934049,5,20.699999999999996
"Спасибо огромное Татьяне, вопрос решился очень оперативно и четко.",1,0,1,1,1,3934243,5,24.2
"Спасибо оператору, деж. (аварийной) смене за оперативную работу!!!",1,0,1,0,0,3934485,5,23.200000000000003
"Отреагировали оперативно, проблему решили и исправили по звонку телефона!",1,0,1,1,1,3934549,5,26.299999999999997
Ольга Птушкина очень быстро и грамотно решила наш вопрос .Большое спасибо !!!,1,1,1,0,1,3934613,5,28.3
очень оперативно внесли данные по поверке,1,0,0,0,1,3934651,5,14.8
"Спасибо Вам большое, быстро среагировали",1,0,0,0,0,3934695,5,14.4
"Сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся",1,1,1,0,0,3934913,5,45.50000000000001
Большое спасибо я! Оперативно все сделали!,1,0,0,1,0,3935268,5,15.500000000000002
"Татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в Пригороде Лесном. Татьяна максимально ответственный и отзывчивый человек! Лучший сотрудник в Управляющей компании, по моему личному мнению!",1,0,1,0,0,3936198,5,81.89999999999999
Реагировали быстро отключили сигнализацию пожарный тревоги. Спасибо огромное!,1,0,0,1,1,3936258,5,26.7
"Здравствуйте! Большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. Благодарю за сотрудничество! С уважением, Ю. П.",1,0,1,0,1,3936546,5,49.9
Спасибо большое. Проблему мастер решил быстро и качественно 👍!!!,1,1,1,0,1,3936835,5,24.0
"Спасибо, Валерию! Все исправил, теперь дома тишина и спокойствие☺️",0,0,1,1,1,3936898,5,23.200000000000003
"специалисты приехали быстро, спустили грузовой застрявший лифт на 1 этаж, освободили человека. большое спасибо",1,1,1,1,1,3937325,5,38.9
"Ольга, большое спасибо. Хорошего дня.",0,0,1,0,0,3937478,5,13.200000000000001
"Работы непосредственно по замене сливной фурнитуры ванны выполнены быстро и качественно. А вот согласование работ - процесс бесконечный, к сожалению и не в пользу собственника. Хорошо, что удалось достичь консенсуса.",1,1,0,1,0,3938059,5,75.19999999999999
"Устранили быстро. Хотелось бы заметить в целом недостатки крепления как в проектировании, когда в металлическую дверь доводчики крепятся обычными саморезами. По кол-ву дырок от старых мест видно, что сама по себе методика крепления не продумана. Саморез в металл - слабо живущее решение, с недолгим жизненным циклом.",1,0,0,0,1,3938452,4,109.6
"Мастер достаточно быстро решил наш вопрос. Надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. После выполнения работы аккуратно все протер,что приятно. Большое спасибо!",1,1,1,1,1,3938558,5,74.9
Все было сделано быстро и профессионально,1,0,1,0,0,3938597,5,14.9
Очень быстро! Оперативно ответили! Спасибо!!!,1,0,0,0,0,3938725,5,16.2
спасибо большое вам за качественную работу.,0,1,1,0,0,3939087,5,15.500000000000002
"Пришли,, окна подкрутили. Быстро.",1,0,0,1,1,3940375,5,11.800000000000002
"быстро, для подъезда вполне хорошо)",1,1,0,0,0,3940717,5,12.600000000000001
"Мастер все сделал быстро. Все отлично, работой довольна",1,0,1,1,0,3940861,5,19.999999999999996
Отличная работа! очень профессиональный и вежливый сотрудник!,0,0,1,1,0,3941162,5,21.5
"быстро сработали, позвонили, сказали, что все хорошо ,ложная тревога",1,0,0,0,1,3941310,5,23.9
быстро и оперативно демонтировали замок,1,0,0,1,0,3941386,5,14.1
супер-быстро помогли. по телефону помогли все решить. отлично!,1,0,1,0,1,3941548,5,21.5
Лифт снова работает. Заявку исполнили очень быстро,1,0,0,1,1,3941672,5,18.4
"Проблема устранена, достаточно оперативно",1,0,0,0,1,3941762,5,14.5
"Спасибо сотруднику ук Никита, благодаря ему нам нормально помыли этаж, спасибо большое",0,0,1,1,0,3941800,5,30.7
"Вопросов нет, молодцы. Супер оперативно",1,0,1,0,1,3941819,5,14.299999999999999
"всё прошло отлично, заранее позвонил предупредил о приходе, сделал всё быстро, вежливый, разулся хотя я говорил что не нужно у нас пыльно. Спасибо.",1,0,1,1,1,3941927,5,52.4
Оперативно мастер подошёл. Все неполадки устранены. Мастер - тактичный молодой человек. Спасибо!,1,0,1,1,1,3942424,5,33.699999999999996
Роман и его коллега СУПЕР специалисты 👍🏻👍🏻👍🏻,0,0,1,0,0,3942831,5,15.9
"Огромное спасибо, за помощь и проделанную Вами работу!",0,0,0,1,1,3942887,5,19.1
Большое спасибо Ольге - очень помогла и ответила на все вопросы ❤️❤️❤️,0,0,1,0,1,3943072,5,25.200000000000003
Огромное спасибо сантехнику Геннадию за качественно оказанную услугу и профессионализм. Приятно иметь дело с такими людьми.,0,1,1,1,1,3943634,5,43.4
Спасибо! Вопрос решен в сжатые сроки и была предоставлена обратная связь.,1,0,0,0,1,3944008,5,26.3
"Спасибо за проверку, за обратный звонок и разъяснение",0,0,0,0,1,3944648,5,18.4
"спасибо, но можно убирать регулярно и без заявок",0,1,1,0,0,3944742,5,17.1
"Выполнено быстро, но хотелось бы, чтобы этого не происходило.",1,0,0,0,0,3945582,5,21.400000000000002
"Спасибо. На удивление, вопрос был решён быстро и оперативно.",1,0,0,0,1,3945794,5,22.2
"Спасибо большое, все выполнено быстро и качественно 😊👍",1,1,0,1,0,3946019,5,19.5
Специалист прекрасно выполнил работу! Благодарна за отзывчивость. Больше бы таких сотрудников.,0,0,1,1,0,3946414,5,33.400000000000006
"Все сделано оперативно, мастер Воронков Сергей сделал все быстро",1,0,1,1,0,3946768,5,23.4
Очень оперативно решили проблему,1,0,0,0,1,3946799,5,12.100000000000001
"Спасибо Татьяне, всю информацию обновили",0,0,1,1,1,3946934,5,14.100000000000001
"Очень подробно, большое спасибо за консультацию!",0,1,1,1,0,3947311,5,16.7
Спасибо что в нашей УК есть такие специалисты. Причина отсутствия электричества была найдена сразу и быстро устранена.,1,0,1,0,1,3947806,5,42.3
Прекрасно выполненная работа. Получил ценную рекомендацию на будущее. Спасибо!,0,1,1,1,0,3947929,5,26.9
быстро отключили пожарную вытяжку,1,0,0,0,0,3947984,5,11.800000000000002
"Быстро приехал мастер , составили акт .",1,0,1,0,0,3948185,5,14.7
Отличная работа мастера. Быстро и качественно,1,1,1,0,0,3948403,5,16.599999999999998
"Большое спасибо за своевременную обратную связь! Всё чётко объяснили,культурно!",1,0,1,0,0,3948418,5,27.2
отличный мастер! большое спасибо за помощь!,0,0,1,0,1,3948436,5,15.500000000000002
"спасибо, что решили свою проблему, а то как то не очень, платишь вовремя, а тебе про долг пишут.",0,0,0,0,1,3948735,5,34.699999999999996
"Мастер быстро пришёл, быстро понял в чем проблема и быстро устранил её, в общем всё отлично, спасибо",1,1,1,1,1,3948958,5,36.5
Работа выполнена на отлично! Быстро и качественно! Спасибо большое!,1,1,0,1,0,3949033,5,23.999999999999996
Спасибо за быстрое и качественное решение вопроса,1,1,0,0,1,3949304,5,18.099999999999998
Все отлично! Специалист пришёл через 30 минут после заявки. Все оперативно починил.,1,0,1,1,1,3949394,5,29.099999999999998
Мастер - Самый Лучший! Спасибо Вам Огромное за таких сотрудников!!!!,0,0,1,0,0,3949596,5,24.699999999999996
"Спасибо! Так быстро сделали , красивую светодиодную лампу поставили",1,1,0,0,0,3949613,5,23.999999999999996
"оперативно отреагировали на заявку, и устранили.",1,0,0,0,1,3949687,5,17.0
Доброго дня! Спасибо за таких Прекрасных Сотрудников!,0,0,1,0,0,3949875,5,18.9
Спасибо за оперативность. После укладки плитки остались незаделанные швы на стыке. Для сравнения на 1 этаже в холле швы ровно закрыты. Просьба завершить работу до конца.,1,0,0,0,0,3949884,5,59.49999999999999
мастер пришёл быстро. Все быстро сделал.,1,0,1,1,0,3950433,5,15.1
Огромнейшее спасибо. Максимально быстро и качественно!!! Просто сотрудник месяца,1,1,1,1,0,3950683,5,28.2
Шикарный специалист. Спасибо за отличную работу и скорость,1,1,1,1,0,3951189,5,20.6
"Остановили течь, дали рекомендации что делать дальше. Большое спасибо!",0,0,0,1,1,3952142,5,24.5
оперативно и вежливо. такого нет в москве,1,0,1,0,0,3952250,5,15.0
"Спасибо за оперативность. Но я так и не поняла. Почему редукторы нам поставили плохие, когда всем меняли?",1,0,0,0,0,3952354,5,37.5
Спасибо большое. Сантехник быстро устранил засор.,1,0,1,0,1,3952439,5,17.799999999999997
